date,channel,season,niche,content_hook,cta,asset_type,status
2026-04-11,Pinterest/TikTok,Graduation,Nurses,POV: you found the perfect funny gift,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-12,Pinterest/TikTok,Graduation,Teachers,POV: you found the perfect funny gift,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-13,Pinterest/TikTok,Graduation,Teachers,Top 3 gift picks this week,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-14,Pinterest/TikTok,Graduation,Dog Moms,POV: you found the perfect funny gift,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-15,Pinterest/TikTok,Graduation,Nurses,POV: you found the perfect funny gift,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-16,Pinterest/TikTok,Graduation,Dog Moms,"Small gift, big reaction",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-17,Pinterest/TikTok,Graduation,New Moms,Last-minute gift that still feels personal,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-18,Pinterest/TikTok,Graduation,Graduation Families,Gift idea that looks expensive but is affordable,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-19,Pinterest/TikTok,Graduation,Nurses,"Small gift, big reaction",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-20,Pinterest/TikTok,Graduation,New Dads,POV: you found the perfect funny gift,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-21,Pinterest/TikTok,Graduation,Dog Moms,"If your mom is impossible to shop for, use this",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
